Employee_ID,First_Name,Last_Name,Full Name,Age,Department,Region ,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work
EMP1000,Bob,Davis,Bob Davis,25,DevOps,California,Active,02/04/2021,59767.65,bob.davis@example.com,1651623197,Average,TRUE
EMP1001,Bob,Brown,Bob Brown,,Finance,Texas,Active,10/07/2020,65304.66,bob.brown@example.com,1898471390,Excellent,TRUE
EMP1002,Alice,Jones,Alice Jones,,Admin,Nevada,Pending,07/12/2023,88145.9,alice.jones@example.com,5596363211,Good,TRUE
EMP1003,Eva,Davis,Eva Davis,25,Admin,Nevada,Inactive,27/11/2021,69450.99,eva.davis@example.com,3476490784,Good,TRUE
EMP1004,Frank,Williams,Frank Williams,25,Cloud Tech,Florida,Active,05/01/2022,109324.61,frank.williams@example.com,1586734256,Poor,FALSE
EMP1005,Alice,Garcia,Alice Garcia,40,Sales,Texas,Inactive,10/06/2020,88642.84,alice.garcia@example.com,5409003485,Good,FALSE
EMP1006,Frank,Jones,Frank Jones,,Sales,Nevada,Active,03/04/2020,96288.43,frank.jones@example.com,4518376063,Good,FALSE
EMP1007,Bob,Jones,Bob Jones,30,Cloud Tech,Florida,Inactive,17/07/2022,94497.91,bob.jones@example.com,4134327559,Average,TRUE
EMP1008,Frank,Davis,Frank Davis,35,Admin,Nevada,Inactive,08/12/2023,115565.82,frank.davis@example.com,4177656123,Excellent,TRUE
EMP1009,Charlie,Johnson,Charlie Johnson,,DevOps,New York,Active,04/08/2022,76561.88,charlie.johnson@example.com,8156985699,Excellent,TRUE
EMP1010,David,Williams,David Williams,35,Cloud Tech,New York,Active,06/07/2024,72081.71,david.williams@example.com,2720634590,Average,FALSE
EMP1011,David,Davis,David Davis,,DevOps,California,Active,04/09/2023,84946.19,david.davis@example.com,1238296576,Poor,TRUE
EMP1012,Heidi,Williams,Heidi Williams,30,HR,New York,Active,05/03/2024,89295.77,heidi.williams@example.com,2429543164,Excellent,FALSE
